FID,LAD20CD,LAD20NM,original,alpha,delta,color
277,E07000108,Dover,4.252691023,2.246496316,3.191154554,4.09
278,E07000109,Gravesham,4.268627395,2.256271163,3.216375761,4.1
279,E07000110,Maidstone,4.259102485,2.246073731,3.217793316,4.11
280,E07000111,Sevenoaks,4.25408856,2.238082869,3.229171058,4.12
281,E07000112,Folkestone and Hythe,4.24066332,2.244730488,3.203882841,4.13
282,E07000113,Swale,4.291163155,2.248563448,3.198984004,4.14
283,E07000114,Thanet,4.272887998,2.250849872,3.198816872,4.15
284,E07000115,Tonbridge and Malling,4.26059718,2.24127305,3.22652738,4.16
285,E07000116,Tunbridge Wells,4.238013386,2.243282806,3.235916743,4.17
286,E07000117,Burnley,4.350324807,2.26246548,3.229120262,4.18
287,E07000118,Chorley,4.298273002,2.271772835,3.251365828,4.19
288,E07000119,Fylde,4.297815775,2.264689835,3.257454919,4.2
289,E07000120,Hyndburn,4.336844258,2.275611071,3.238206264,4.21
290,E07000121,Lancaster,4.292387622,2.257941151,3.242202066,4.22
291,E07000122,Pendle,4.338244706,2.265740959,3.214438582,4.23
292,E07000123,Preston,4.330785872,2.286872409,3.232665579,4.24
293,E07000124,Ribble Valley,4.323078585,2.266805596,3.243035984,4.25
294,E07000125,Rossendale,4.336810212,2.262551801,3.246664011,4.26
295,E07000126,South Ribble,4.306798412,2.277152325,3.234049089,4.27
296,E07000127,West Lancashire,4.323048929,2.263294809,3.237551494,4.28
297,E07000128,Wyre,4.298035166,2.265072832,3.302771417,4.29
298,E07000129,Blaby,4.289256931,2.273389766,3.28014885,4.3
299,E07000130,Charnwood,4.307628277,2.27867277,3.250627081,4.31
300,E07000131,Harborough,4.275945895,2.27481291,3.245813768,4.32
301,E07000132,Hinckley and Bosworth,4.273718132,2.272575754,3.269347658,4.33
302,E07000133,Melton,4.274129745,2.274449981,3.251894388,4.34
303,E07000134,North West Leicestershire,4.2886758,2.280648794,3.277965333,4.35
304,E07000135,Oadby and Wigston,4.305810255,2.283088168,3.256097561,4.36
305,E07000136,Boston,4.274403151,2.286305131,3.218804833,4.37
306,E07000137,East Lindsey,4.308489281,2.279150134,3.240843048,4.38
307,E07000138,Lincoln,4.30487133,2.260322765,3.267929871,4.39
308,E07000139,North Kesteven,4.29048316,2.268650463,3.243374704,4.4
309,E07000140,South Holland,4.250803247,2.286475436,3.216176931,4.41
310,E07000141,South Kesteven,4.271341909,2.274401785,3.238672901,4.42
311,E07000142,West Lindsey,4.29687819,2.271505221,3.245074052,4.43
312,E07000143,Breckland,4.246950715,2.264288566,3.205287742,4.44
313,E07000144,Broadland,4.246108293,2.253146252,3.226455528,4.45
314,E07000145,Great Yarmouth,4.265911026,2.260890254,,4.46
315,E08000032,Bradford,4.332229384,2.292311992,3.238705146,4.47
316,E08000033,Calderdale,4.313757996,2.281776103,3.266402609,4.48
317,E08000034,Kirklees,4.318408066,2.287101323,3.237441509,4.49
318,E08000035,Leeds,4.338172312,2.280624234,3.2616301,4.5
319,E08000036,Wakefield,4.312621583,2.287896492,3.281949306,4.51
320,E08000037,Gateshead,4.315676761,2.264478495,3.294265913,4.52
321,E09000002,Barking and Dagenham,4.280477512,2.262275516,3.181896145,4.53
322,E09000003,Barnet,4.262411717,2.25285607,3.204525388,4.54
323,E09000004,Bexley,4.267818359,2.250476705,3.205696844,4.55
324,E09000005,Brent,4.26456403,2.267702925,3.184128483,4.56
325,E09000006,Bromley,4.252013729,2.243818441,3.201342094,4.57
326,E09000007,Camden,4.260786911,2.24197483,3.17062886,4.58
327,E09000008,Croydon,4.253876689,2.253685677,3.199019825,4.59
328,E09000009,Ealing,4.277429597,2.271631436,3.203752551,4.6
329,E09000010,Enfield,4.271289985,2.251841758,3.179079578,4.61
330,E09000011,Greenwich,4.262881478,2.249415185,3.192739506,4.62
331,E09000012,Hackney,4.273037199,2.244236947,3.192822529,4.63
332,E09000013,Hammersmith and Fulham,4.2704172,2.26241855,3.222472973,4.64
333,E09000014,Haringey,4.268847824,2.248608668,3.191105207,4.65
334,E09000015,Harrow,4.26316646,2.265659348,3.206089791,4.66
335,E09000016,Havering,4.287113499,2.25339258,3.198193053,4.67
336,E09000017,Hillingdon,4.275406597,2.27220582,3.20612467,4.68
337,E09000018,Hounslow,4.270858396,2.272658198,3.210594311,4.69
338,E09000019,Islington,4.272824235,2.245945658,3.190409305,4.7
339,E09000020,Kensington and Chelsea,4.259517739,2.25096709,3.183631324,4.71
340,E09000021,Kingston upon Thames,4.264588901,2.258380231,3.202996875,4.72
341,E09000022,Lambeth,4.261263253,2.251006915,3.211197976,4.73
342,E09000023,Lewisham,4.252510608,2.243031707,3.194381793,4.74
343,E09000024,Merton,4.25502487,2.26010741,3.195615219,4.75
344,E09000025,Newham,4.277366777,2.260771615,3.17615313,4.76
345,E09000026,Redbridge,4.289096328,2.260628782,3.19434169,4.77
346,E09000027,Richmond upon Thames,4.264991486,2.260031454,3.223335603,4.78
347,E09000028,Southwark,4.254550159,2.246949633,3.19257125,4.79
348,E09000029,Sutton,4.252872098,2.251872829,3.215854696,4.8
349,E09000030,Tower Hamlets,4.288930788,2.247328009,3.184896262,4.81
350,E09000031,Waltham Forest,4.271993404,2.251477802,3.193191201,4.82
351,E09000032,Wandsworth,4.26146601,2.254445726,3.218947898,4.83
352,E09000033,Westminster,4.263467119,2.250687415,3.167039371,4.84
353,N09000001,Antrim and Newtownabbey,4.284852604,2.264190064,3.281990505,4.85
354,N09000002,"Armagh City, Banbridge and Craigavon",4.288658358,2.266056598,3.273646897,4.86
355,N09000003,Belfast,4.322478924,2.266541449,3.287986509,4.87
356,N09000004,Causeway Coast and Glens,4.299291006,2.259078709,3.283374054,4.88
357,N09000005,Derry City and Strabane,4.414536359,2.278814923,3.303422158,4.89
358,N09000006,Fermanagh and Omagh,4.322499781,2.24784136,3.300360311,4.9
359,N09000007,Lisburn and Castlereagh,4.29250755,2.265121027,3.266026499,4.91
360,N09000008,Mid and East Antrim,4.265291585,2.264623936,3.246212175,4.92
361,N09000009,Mid Ulster,4.333193609,2.276988471,3.275032489,4.93
362,N09000010,"Newry, Mourne and Down",4.322830074,2.260066305,3.267179419,4.94
363,N09000011,Ards and North Down,4.280061673,2.261515913,3.254428743,4.95
364,S12000005,Clackmannanshire,4.255026267,2.29294628,3.247589249,4.96
365,S12000006,Dumfries and Galloway,4.251254298,2.245283931,3.22645076,4.97
366,S12000008,East Ayrshire,4.280232415,2.279344173,3.245127414,4.98
367,S12000010,East Lothian,4.249573211,2.26721078,3.24498292,4.99
368,S12000011,East Renfrewshire,4.280910627,2.285782576,3.272736817,5
