Date,Alpha,Delta,Omicron,Original
2022/1/30,4301250,7493882,4527608,2679513
2022/1/31,4301250,7493935,4648311,2679513
2022/2/1,4301250,7493966,4740395,2679513
2022/2/2,4301250,7494046,4831960,2679513
2022/2/3,4301269,7494099,4923375,2679513
2022/2/4,4301269,7494120,4999506,2679513
2022/2/5,4301287,7494152,5059772,2679513
2022/2/6,4301287,7494178,5108102,2679513
2022/2/7,4301287,7494215,5189502,2679513
2022/2/8,4301287,7494268,5263153,2679513
2022/2/9,4301287,7494290,5334644,2679513
2022/2/10,4301287,7494327,5392171,2679513
2022/2/11,4301287,7494359,5439892,2679513
2022/2/12,4301287,7494385,5472983,2679513
