date,alpha,original
24/03/2022,2303581,1627338
25/03/2022,2303581,1627338
26/03/2022,2303581,1627338
27/03/2022,2303581,1627338
28/03/2022,2303581,1627338
29/03/2022,2303581,1627338
30/03/2022,2303581,1627338
31/03/2022,2303581,1627338
01/04/2022,2303581,1627338
02/04/2022,2303581,1627338
03/04/2022,2303581,1627338
04/04/2022,2303581,1627338
05/04/2022,2303581,1627338
06/04/2022,2303581,1627338
07/04/2022,2303581,1627338
08/04/2022,2303581,1627338
09/04/2022,2303581,1627338
10/04/2022,2303581,1627338
11/04/2022,2303581,1627338
12/04/2022,2303581,1627338
13/04/2022,2303581,1627338
14/04/2022,2303581,1627338
15/04/2022,2303581,1627338
16/04/2022,2303581,1627338
17/04/2022,2303581,1627338
18/04/2022,2303581,1627338
19/04/2022,2303582,1627338
20/04/2022,2303583,1627338
21/04/2022,2303584,1627338
22/04/2022,2303585,1627338
23/04/2022,2303586,1627338
24/04/2022,2303588,1627338
25/04/2022,2303590,1627338
26/04/2022,2303591,1627338
27/04/2022,2303592,1627338
28/04/2022,2303593,1627338
29/04/2022,2303593,1627338
30/04/2022,2303593,1627338
01/05/2022,2303593,1627338
02/05/2022,2303593,1627338
03/05/2022,2303593,1627338
04/05/2022,2303593,1627338
05/05/2022,2303593,1627338
06/05/2022,2303593,1627338
07/05/2022,2303593,1627338
08/05/2022,2303593,1627338
09/05/2022,2303593,1627338
10/05/2022,2303593,1627338
11/05/2022,2303593,1627338
12/05/2022,2303593,1627338
13/05/2022,2303593,1627338
14/05/2022,2303593,1627338
15/05/2022,2303593,1627338
16/05/2022,2303593,1627338
17/05/2022,2303593,1627338
18/05/2022,2303593,1627338
19/05/2022,2303593,1627338
20/05/2022,2303593,1627338
21/05/2022,2303593,1627338
22/05/2022,2303593,1627338
23/05/2022,2303593,1627338
24/05/2022,2303593,1627338
25/05/2022,2303593,1627338
26/05/2022,2303593,1627338
27/05/2022,2303593,1627338
28/05/2022,2303593,1627338
29/05/2022,2303593,1627338
30/05/2022,2303593,1627338
31/05/2022,2303593,1627338
01/06/2022,2303593,1627338
02/06/2022,2303593,1627338
03/06/2022,2303593,1627338
04/06/2022,2303593,1627338
05/06/2022,2303593,1627338
06/06/2022,2303593,1627338
07/06/2022,2303593,1627338
08/06/2022,2303593,1627338
09/06/2022,2303593,1627338
10/06/2022,2303593,1627338
11/06/2022,2303593,1627338
12/06/2022,2303593,1627338
